artist,title,track
Beyonce,Halo,
Avicii ,Levels,
Taylor Swift,Blank Space,
Vance Joy,Riptide,
Jessie J ft. B.o.B,Price Tag,
Avicii ,The Nights,
Anne-Marie ,Ciao Adios,
Frank Sinatra,"New York, New York",
Bob Marley,"No Woman, No Cry",
U2,With or Without You,
Eminem,Lose Yourself,
Celine Dion,My Heart Will Go On,
Nirvana,Smells Like Teen Spirit,
Red Hot Chili Peppers,Californication,
P!nk ,Try,
Journey,Don't Stop Believin',
Imagine Dragons,Thunder,
OneRepublic,Counting Stars,
Maroon 5,Sugar,
Rihanna,Diamonds,
Shakira ,Waka Waka,
Britney Spears,Baby One More Time,
Christina Aguilera,Beautiful,
Kelly Clarkson,Because Of You,
The Beatles,Yesterday,
Michael Jackson,Billie Jean,
Madonna,Like A Prayer,
Queen,Bohemian Rhapsody,
Avril Lavigne,Complicated,
Sia,Chandelier,
Lana Del Rey,Summertime Sadness,
Linkin Park,Numb,
Anne-Marie,Rockabye,
Lady Gaga,Bad Romance,
Dr. Dre ft. Snoop Dogg,Still D.R.E.,
AC/DC,Thunderstruck,
Bon Jovi,Livin' on a Prayer,
Backstreet Boys ,I Want It That Way,
Katy Perry,Firework,
Green Day,Boulevard Of Broken Dreams,
Mark Ronson,Uptown Funk,
Ed Sheeran,Shape Of You,
The Black Eyed Peas,Where Is The Love?,
Nelly Furtado ft. Timbaland,Promiscuous,
Gwen Stefani,Hollaback Girl,
Jennifer Lopez,Jenny from the Block,
Cher,Believe,
Whitney Houston,I Will Always Love You,
Justin Timberlake,Can't stop the feeling,
Aerosmith ,Crazy,
Twenty one pilots,Stressed Out,
Stromae,Alors on danse,
PSY,Gangnam Style,
OMI,Cheerleader,
Outkast ,Hey Ya!,
Metallica,Nothing Else Matters,
Miley Cyrus ,Flowers,
Elton John ,Can You Feel the Love Tonight,
Dido,Thank You,
Natalie Imbruglia,Torn,
Eagles,Hotel California,
The Cranberries,Zombie,
Coolio,Gangsta's Paradise,
Radiohead,Creep,
LP,Lost On You,
Sixpence None The Richer,Kiss Me,
Robbie Williams,Supreme,
Gotye feat. Kimbra,Somebody That I Used To Know,
Lorde,Royals,
Avicii ,Wake Me Up,
Passenger ,Let Her Go,
Wiz Khalifa,See You Again ft. Charlie Puth,
Nelly ft. Kelly Rowland,Dilemma,
Pitbull ft. Ke$ha, Timber,
Flo Rida,Whistle,
Enrique Iglesias,Bailando ,
Luis Fonsi ft. Daddy Yankee,Despacito,
Ricky Martin ,Livin' La Vida Loca,
David Guetta ft. Sia,Titanium,
Lilly Wood & The Prick and Robin Schulz,Prayer In C,
Bruno Mars,Just The Way You Are,
Don Omar ft. Lucenzo,Danza Kuduro,
Coldplay ,Viva La Vida,
Charlie Puth ,Attention,
Joji,YEAH RIGHT,
M.C. Hammer,U Can't Touch This,
4 Non Blondes,What's Up,
Baha Men,Who Let The Dogs Out,
Spice Girls,Wannabe,
JAY-Z - ft. Alicia Keys,Empire State Of Mind,
"Usher ft. Lil Jon, Ludacris",Yeah!,
Rihanna ft. JAY-Z,Umbrella ,
"Post Malone, Swae Lee ",Sunflower,
Lil Nas X ft. Billy Ray Cyrus,Old Town Road,
The Weeknd,Save Your Tears,
Sam Smith,Stay With Me,
"The Kid LAROI, Justin Bieber",Stay,
Harry Styles,As It Was,
"J Balvin, Willy William",Mi Gente,
Taylor Swift,Shake It Off,
Rag'n'Bone Man,Human,
Maroon 5 ft. Christina Aguilera,Moves Like Jagger,
Eminem,Rap God,
Justin Bieber,Sorry,
Swedish House Mafia ft. John Martin,Don't You Worry Child,
Ed Sheeran,Perfect,
Robin Thicke ft. T.I. & Pharrell,Blurred Lines,
Lewis Capaldi ,Someone You Loved,
"Lady Gaga, Bradley Cooper ",Shallow,
Rihanna ft. Calvin Harris,We Found Love,
Imagine Dragons,Radioactive,
Bruno Mars ,Locked Out Of Heaven,
TONES AND I ,DANCE MONKEY,
Sia,Cheap Thrills,
"Daft Punk ft. Pharrell Williams, Nile Rodgers",Get Lucky,
Fun ft. Janelle Monáe,We Are Young,
MACKLEMORE & RYAN LEWIS FEAT. RAY DALTON,CAN'T HOLD US,
Hozier ,Take Me To Church,
Sam Smith, I'm Not The Only One,
John Legend ,All of Me,
Adele ,Someone Like You,
MACKLEMORE & RYAN LEWIS FEAT. WANZ,THRIFT SHOP ,
Major Lazer & DJ Snake ,Lean On,
Adele,Rolling in the Deep,
R.E.M.,Losing My Religion,
Shakira ft. Wyclef Jean,Hips Don't Lie,
